CT10,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,WeaponLaws,AllCrimes
406602,5774,1809,77,6,1302,0,2498,82,75911,43,138,295,83,5,0,4,3,0,2,2,0,5,0,1,12,6,0,0,0,3,4,2,49
533701,3815,3242,80,35,0,0,458,0,46544,105,98,205,30,2,0,21,9,0,2,4,0,21,0,1,10,39,5,0,0,12,28,0,154
534302,3809,2700,7,6,0,0,1008,88,50585,120,56,231,0,0,0,12,10,0,1,4,0,6,1,1,9,8,3,0,0,5,7,1,68
534201,4621,3468,36,0,9,0,1051,57,43115,80,95,284,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
571000,5904,4614,255,0,444,8,310,273,98933,74,61,240,41,3,1,8,11,1,4,9,0,11,0,5,6,83,2,0,0,12,3,0,159
570204,3969,1252,720,70,422,59,1415,31,60287,212,110,141,41,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,1,26
555104,4326,1824,360,12,1218,16,764,132,68194,63,60,228,104,6,0,11,9,1,2,11,0,14,0,5,16,60,4,3,0,19,13,2,176
570502,6421,2256,602,0,1237,14,1871,441,67478,146,114,269,47,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
570501,7233,3011,1023,49,799,199,1801,351,81761,158,158,525,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
570603,5071,1038,2392,6,310,127,987,211,44355,82,68,239,42,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4
570602,6670,2171,744,0,1519,65,1961,210,68555,117,55,252,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4
504102,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,2,0,0,0,1,0,0,0,0,9,0,0,0,0,1,33,1,54
482001,2814,383,0,0,2139,0,251,41,119050,4,28,59,19,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,2,2,0,12
482002,6769,865,22,26,3898,79,1731,148,93281,14,149,285,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
482101,4929,839,0,0,3234,44,794,18,73943,18,35,213,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482201,3892,300,1,0,2836,0,619,136,67209,16,56,134,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482202,5200,778,37,58,3935,38,285,69,72663,45,63,166,49,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,6
482102,2927,653,80,48,1508,0,436,202,94171,38,22,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
433802,3310,1985,52,3,638,0,559,73,63628,0,61,271,0,3,2,28,22,0,3,10,0,19,0,7,28,52,2,1,2,20,44,6,249
433902,3458,2210,6,66,433,0,684,59,50876,34,60,163,0,0,0,2,0,0,0,2,0,1,1,0,2,8,0,0,0,1,2,1,20
500500,2787,1381,50,6,279,0,1050,21,50922,15,68,113,11,5,0,10,6,0,1,7,0,22,0,2,6,20,3,0,0,9,36,1,128
500402,4453,2132,24,30,28,11,2068,160,54441,90,56,291,39,15,0,38,30,0,9,13,0,29,0,6,45,58,2,1,1,31,48,4,330
500600,5942,2783,29,0,58,0,2917,155,65420,253,98,280,18,26,0,20,21,0,8,12,0,40,0,7,42,41,2,0,1,22,45,6,293
534002,4410,3125,93,34,18,0,1064,76,60875,88,48,189,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,7
532001,3270,2412,261,13,81,0,503,0,46926,38,114,94,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
532303,4663,3744,35,0,100,15,717,52,55665,107,88,178,15,16,5,87,65,0,9,36,0,211,0,7,46,549,11,1,1,106,142,14,1306
553300,3446,1250,69,1,462,9,1516,139,79163,52,68,283,15,3,2,22,17,0,1,10,0,24,0,6,24,93,3,0,0,10,21,3,239
554802,6132,2361,236,29,2422,28,852,204,78022,73,94,258,0,6,0,21,83,2,0,24,0,22,2,2,18,131,3,0,0,17,26,6,363
554900,7513,2583,92,0,3527,0,1012,299,73720,65,123,495,147,4,1,24,67,0,5,24,0,30,0,3,21,150,5,0,0,34,42,5,415
553400,3563,2033,74,15,249,172,964,56,75766,47,62,194,5,0,0,1,0,0,2,2,0,1,0,1,6,1,0,0,2,1,14,1,32
554002,6058,1947,504,0,848,0,2670,89,67423,95,99,346,9,13,0,42,38,0,1,16,1,53,0,5,76,78,6,0,0,32,41,5,407
570601,5783,1949,1006,261,661,76,1535,295,59739,167,145,397,49,0,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,9
570901,5930,4075,145,10,774,0,615,311,101360,46,63,356,0,8,1,12,18,0,7,21,0,13,0,6,12,100,0,0,0,14,12,1,225
570800,5616,3516,259,39,513,140,728,421,94333,57,74,231,12,15,1,44,45,5,11,90,0,52,0,20,26,626,12,5,0,44,83,7,1086
